year,shadow,name,city,region,country,latitude,longitude,is_groundhog,type,active,was_spring
1887,TRUE,Punxsutawney Phil,Punxsutawney,Pennsylvania,USA,40.9311988,-78.9622483,TRUE,Groundhog,TRUE,TRUE
1888,TRUE,Punxsutawney Phil,Punxsutawney,Pennsylvania,USA,40.9311988,-78.9622483,TRUE,Groundhog,TRUE,TRUE
1890,FALSE,Punxsutawney Phil,Punxsutawney,Pennsylvania,USA,40.9311988,-78.9622483,TRUE,Groundhog,TRUE,FALSE
1898,TRUE,Punxsutawney Phil,Punxsutawney,Pennsylvania,USA,40.9311988,-78.9622483,TRUE,Groundhog,TRUE,TRUE
1900,TRUE,Punxsutawney Phil,Punxsutawney,Pennsylvania,USA,40.9311988,-78.9622483,TRUE,Groundhog,TRUE,FALSE
1901,TRUE,Punxsutawney Phil,Punxsutawney,Pennsylvania,USA,40.9311988,-78.9622483,TRUE,Groundhog,TRUE,TRUE
1902,FALSE,Punxsutawney Phil,Punxsutawney,Pennsylvania,USA,40.9311988,-78.9622483,TRUE,Groundhog,TRUE,FALSE
1903,TRUE,Punxsutawney Phil,Punxsutawney,Pennsylvania,USA,40.9311988,-78.9622483,TRUE,Groundhog,TRUE,TRUE
1904,TRUE,Punxsutawney Phil,Punxsutawney,Pennsylvania,USA,40.9311988,-78.9622483,TRUE,Groundhog,TRUE,TRUE
1905,TRUE,Punxsutawney Phil,Punxsutawney,Pennsylvania,USA,40.9311988,-78.9622483,TRUE,Groundhog,TRUE,TRUE
1906,TRUE,Punxsutawney Phil,Punxsutawney,Pennsylvania,USA,40.9311988,-78.9622483,TRUE,Groundhog,TRUE,TRUE
1907,TRUE,Punxsutawney Phil,Punxsutawney,Pennsylvania,USA,40.9311988,-78.9622483,TRUE,Groundhog,TRUE,TRUE
1908,TRUE,Punxsutawney Phil,Punxsutawney,Pennsylvania,USA,40.9311988,-78.9622483,TRUE,Groundhog,TRUE,FALSE
1909,TRUE,Punxsutawney Phil,Punxsutawney,Pennsylvania,USA,40.9311988,-78.9622483,TRUE,Groundhog,TRUE,TRUE
1910,TRUE,Punxsutawney Phil,Punxsutawney,Pennsylvania,USA,40.9311988,-78.9622483,TRUE,Groundhog,TRUE,TRUE
1911,TRUE,Punxsutawney Phil,Punxsutawney,Pennsylvania,USA,40.9311988,-78.9622483,TRUE,Groundhog,TRUE,TRUE
1912,TRUE,Punxsutawney Phil,Punxsutawney,Pennsylvania,USA,40.9311988,-78.9622483,TRUE,Groundhog,TRUE,TRUE
1913,TRUE,Punxsutawney Phil,Punxsutawney,Pennsylvania,USA,40.9311988,-78.9622483,TRUE,Groundhog,TRUE,TRUE
1914,TRUE,Punxsutawney Phil,Punxsutawney,Pennsylvania,USA,40.9311988,-78.9622483,TRUE,Groundhog,TRUE,TRUE
1915,TRUE,Punxsutawney Phil,Punxsutawney,Pennsylvania,USA,40.9311988,-78.9622483,TRUE,Groundhog,TRUE,TRUE
1916,TRUE,Punxsutawney Phil,Punxsutawney,Pennsylvania,USA,40.9311988,-78.9622483,TRUE,Groundhog,TRUE,TRUE
1917,TRUE,Punxsutawney Phil,Punxsutawney,Pennsylvania,USA,40.9311988,-78.9622483,TRUE,Groundhog,TRUE,TRUE
1918,TRUE,Punxsutawney Phil,Punxsutawney,Pennsylvania,USA,40.9311988,-78.9622483,TRUE,Groundhog,TRUE,TRUE
